,location,total_sqft,bath,price,bhk
71,6th Phase JP Nagar,1180.0,2.0,80.0,2
72,6th Phase JP Nagar,3245.0,4.0,250.0,4
73,6th Phase JP Nagar,1645.0,3.0,100.0,3
74,6th Phase JP Nagar,1140.0,2.0,65.0,2
75,6th Phase JP Nagar,2040.0,3.0,200.0,3
76,6th Phase JP Nagar,1213.0,2.0,63.0,2
77,6th Phase JP Nagar,1216.0,2.0,60.0,2
78,6th Phase JP Nagar,1460.0,2.0,80.0,2
79,6th Phase JP Nagar,2003.0,3.0,200.0,3
80,6th Phase JP Nagar,1810.0,3.0,131.0,3
81,6th Phase JP Nagar,1515.0,2.0,135.0,3
82,6th Phase JP Nagar,1192.0,2.0,75.0,2
83,6th Phase JP Nagar,1280.0,2.0,88.0,2
84,7th Phase JP Nagar,1080.0,2.0,72.0,2
85,7th Phase JP Nagar,1270.0,2.0,93.0,2
86,7th Phase JP Nagar,1420.0,2.0,100.0,3
87,7th Phase JP Nagar,1850.0,3.0,150.0,3
88,7th Phase JP Nagar,1245.0,2.0,94.0,2
89,7th Phase JP Nagar,1175.0,2.0,82.0,2
90,7th Phase JP Nagar,1400.0,2.0,95.0,3
91,7th Phase JP Nagar,2225.0,3.0,160.0,3
92,7th Phase JP Nagar,1050.0,2.0,71.0,2
93,7th Phase JP Nagar,1100.0,2.0,46.0,2
94,7th Phase JP Nagar,918.0,2.0,50.49,2
95,7th Phase JP Nagar,1450.0,2.0,100.0,3
96,7th Phase JP Nagar,1190.0,2.0,49.98,2
97,7th Phase JP Nagar,1420.0,2.0,96.0,3
98,7th Phase JP Nagar,1680.0,3.0,120.0,3
99,7th Phase JP Nagar,980.0,2.0,69.0,2
100,7th Phase JP Nagar,1180.0,2.0,72.0,2
101,7th Phase JP Nagar,1050.0,2.0,57.0,3
102,7th Phase JP Nagar,1343.0,2.0,56.41,3
103,7th Phase JP Nagar,1405.0,2.0,59.01,3
104,7th Phase JP Nagar,1400.0,3.0,115.0,3
105,7th Phase JP Nagar,1270.0,2.0,83.0,2
106,7th Phase JP Nagar,3300.0,4.0,150.0,4
107,7th Phase JP Nagar,2503.0,4.0,188.0,4
108,7th Phase JP Nagar,2200.0,3.0,190.0,3
109,7th Phase JP Nagar,1250.0,3.0,65.0,3
110,7th Phase JP Nagar,1385.0,2.0,58.17,3
111,7th Phase JP Nagar,1575.0,2.0,110.0,3
112,7th Phase JP Nagar,1850.0,3.0,140.0,3
113,7th Phase JP Nagar,1575.0,2.0,120.0,3
114,7th Phase JP Nagar,1850.0,3.0,150.0,3
115,7th Phase JP Nagar,1680.0,3.0,120.0,3
116,7th Phase JP Nagar,1175.0,2.0,82.5,2
117,7th Phase JP Nagar,3300.0,4.0,160.0,3
118,7th Phase JP Nagar,2200.0,4.0,105.0,3
119,7th Phase JP Nagar,1215.0,2.0,90.0,2
120,7th Phase JP Nagar,1050.0,2.0,75.0,2
121,7th Phase JP Nagar,1300.0,3.0,89.13,3
122,7th Phase JP Nagar,1130.0,2.0,73.0,2
123,7th Phase JP Nagar,1450.0,3.0,100.0,3
124,7th Phase JP Nagar,1350.0,3.0,58.0,3
125,7th Phase JP Nagar,1050.0,2.0,50.0,2
126,7th Phase JP Nagar,1275.0,2.0,87.0,2
127,7th Phase JP Nagar,1460.0,3.0,70.0,3
128,7th Phase JP Nagar,1650.0,3.0,110.0,3
129,7th Phase JP Nagar,850.0,2.0,42.0,2
130,7th Phase JP Nagar,1680.0,3.0,117.0,3
131,7th Phase JP Nagar,1850.0,3.0,150.0,3
132,7th Phase JP Nagar,1236.0,2.0,61.33,2
133,7th Phase JP Nagar,1000.0,2.0,53.0,2
134,7th Phase JP Nagar,1680.0,3.0,125.0,3
135,7th Phase JP Nagar,1675.0,2.0,135.0,3
136,7th Phase JP Nagar,1187.0,2.0,59.0,2
137,7th Phase JP Nagar,1850.0,3.0,155.0,3
138,7th Phase JP Nagar,1000.0,2.0,61.0,2
139,7th Phase JP Nagar,1460.0,2.0,100.0,3
140,7th Phase JP Nagar,1650.0,3.0,110.0,3
141,7th Phase JP Nagar,1200.0,2.0,62.5,2
142,7th Phase JP Nagar,1000.0,2.0,70.65,2
143,7th Phase JP Nagar,1080.0,2.0,75.0,2
144,7th Phase JP Nagar,1415.0,3.0,65.0,3
145,7th Phase JP Nagar,1680.0,3.0,125.0,3
146,7th Phase JP Nagar,1460.0,2.0,97.0,3
147,7th Phase JP Nagar,1120.0,2.0,65.0,2
148,7th Phase JP Nagar,1100.0,3.0,60.0,2
149,7th Phase JP Nagar,1790.0,3.0,120.0,3
150,7th Phase JP Nagar,1680.0,3.0,117.0,3
151,7th Phase JP Nagar,1050.0,2.0,77.0,2
152,7th Phase JP Nagar,1050.0,2.0,75.0,2
153,7th Phase JP Nagar,1040.0,2.0,75.0,2
154,7th Phase JP Nagar,1400.0,2.0,95.0,3
155,7th Phase JP Nagar,1800.0,3.0,130.0,3
156,7th Phase JP Nagar,1050.0,2.0,68.0,2
157,7th Phase JP Nagar,1000.0,2.0,60.0,2
158,7th Phase JP Nagar,1680.0,3.0,125.0,3
159,7th Phase JP Nagar,1050.0,2.0,77.47,2
160,7th Phase JP Nagar,1270.0,2.0,80.0,2
161,7th Phase JP Nagar,1463.0,2.0,61.45,3
162,7th Phase JP Nagar,1680.0,3.0,122.0,3
163,7th Phase JP Nagar,1130.0,2.0,85.0,2
164,7th Phase JP Nagar,1680.0,3.0,130.0,3
165,7th Phase JP Nagar,980.0,2.0,77.44,2
166,7th Phase JP Nagar,1680.0,3.0,112.0,3
167,7th Phase JP Nagar,1515.0,2.0,76.0,3
168,7th Phase JP Nagar,2095.0,3.0,150.0,3
169,7th Phase JP Nagar,1976.0,3.0,145.0,3
170,7th Phase JP Nagar,1600.0,2.0,110.0,3
171,7th Phase JP Nagar,1765.0,3.0,118.0,3
172,7th Phase JP Nagar,1275.0,2.0,88.0,3
173,7th Phase JP Nagar,1450.0,2.0,102.0,3
174,7th Phase JP Nagar,1575.0,2.0,110.0,3
175,7th Phase JP Nagar,1075.0,2.0,57.0,3
176,7th Phase JP Nagar,750.0,1.0,47.0,1
177,7th Phase JP Nagar,990.0,2.0,50.0,2
178,7th Phase JP Nagar,1000.0,1.0,60.0,1
179,7th Phase JP Nagar,1680.0,2.0,92.0,3
180,7th Phase JP Nagar,1430.0,2.0,102.0,3
181,7th Phase JP Nagar,1128.0,2.0,60.0,2
182,7th Phase JP Nagar,1140.0,2.0,57.0,2
183,7th Phase JP Nagar,1420.0,3.0,90.0,3
184,7th Phase JP Nagar,1530.0,2.0,108.0,2
185,8th Phase JP Nagar,1594.5,2.0,54.005,2
186,8th Phase JP Nagar,451.0,1.0,29.9,1
187,8th Phase JP Nagar,1240.0,3.0,43.5,3
188,8th Phase JP Nagar,1062.0,2.0,42.47,2
189,8th Phase JP Nagar,1230.0,2.0,43.5,3
190,8th Phase JP Nagar,1455.0,3.0,73.31,3
191,8th Phase JP Nagar,871.0,2.0,55.0,2
192,8th Phase JP Nagar,1098.0,2.0,43.91,2
193,8th Phase JP Nagar,1800.0,3.0,80.0,3
194,8th Phase JP Nagar,2700.0,4.0,130.0,4
195,8th Phase JP Nagar,1080.0,2.0,38.0,2
196,8th Phase JP Nagar,1059.0,2.0,34.5,2
197,8th Phase JP Nagar,1080.0,2.0,35.0,2
198,8th Phase JP Nagar,1275.0,2.0,41.5,3
199,8th Phase JP Nagar,1062.0,2.0,42.47,2
200,8th Phase JP Nagar,500.0,1.0,31.0,1
201,8th Phase JP Nagar,1100.0,2.0,35.0,2
202,8th Phase JP Nagar,2100.0,4.0,92.0,4
203,8th Phase JP Nagar,1035.0,2.0,39.33,2
204,8th Phase JP Nagar,909.0,2.0,40.9,2
205,8th Phase JP Nagar,2135.5,3.0,72.02,3
206,8th Phase JP Nagar,1900.0,4.0,90.0,3
207,8th Phase JP Nagar,500.0,1.0,30.0,1
208,8th Phase JP Nagar,1125.0,2.0,36.94,2
209,8th Phase JP Nagar,1100.0,2.0,35.0,2
210,8th Phase JP Nagar,1089.0,2.0,43.55,2
211,8th Phase JP Nagar,1605.0,2.0,65.0,3
212,8th Phase JP Nagar,1504.0,2.0,83.0,3
213,8th Phase JP Nagar,2600.0,4.0,115.0,4
214,8th Phase JP Nagar,1368.0,2.0,54.71,3
215,8th Phase JP Nagar,1089.0,2.0,43.55,2
216,8th Phase JP Nagar,1224.0,2.0,48.95,3
217,8th Phase JP Nagar,1513.0,2.0,62.0,2
218,8th Phase JP Nagar,1298.0,2.0,59.0,2
219,8th Phase JP Nagar,1006.0,2.0,44.0,2
220,8th Phase JP Nagar,500.0,1.0,33.0,1
221,8th Phase JP Nagar,1245.0,2.0,59.0,2
222,8th Phase JP Nagar,1510.0,2.0,80.0,2
223,8th Phase JP Nagar,3300.0,3.0,165.0,3
224,8th Phase JP Nagar,1730.0,5.0,75.0,5
225,8th Phase JP Nagar,1296.0,2.0,51.83,3
226,8th Phase JP Nagar,1275.0,3.0,45.0,3
227,8th Phase JP Nagar,1046.0,2.0,48.0,2
228,8th Phase JP Nagar,1269.0,2.0,50.75,3
229,8th Phase JP Nagar,1408.0,3.0,80.0,3
230,8th Phase JP Nagar,1500.0,2.0,55.0,3
231,9th Phase JP Nagar,1005.0,2.0,50.0,2
232,9th Phase JP Nagar,1890.0,2.0,85.0,3
233,9th Phase JP Nagar,1035.0,2.0,45.0,2
234,9th Phase JP Nagar,5000.0,4.0,290.0,4
235,9th Phase JP Nagar,1164.0,2.0,56.0,2
236,9th Phase JP Nagar,1005.0,2.0,42.0,2
237,9th Phase JP Nagar,1127.0,2.0,50.0,2
238,9th Phase JP Nagar,1005.0,2.0,43.0,2
239,9th Phase JP Nagar,835.0,2.0,37.0,2
240,9th Phase JP Nagar,1050.0,2.0,39.0,2
241,9th Phase JP Nagar,660.0,2.0,27.0,2
242,9th Phase JP Nagar,1466.0,2.0,71.0,2
243,9th Phase JP Nagar,1890.0,2.0,93.0,3
244,9th Phase JP Nagar,1079.0,2.0,60.0,2
245,9th Phase JP Nagar,1480.0,2.0,80.0,2
246,9th Phase JP Nagar,1073.0,2.0,52.36,2
247,9th Phase JP Nagar,1719.3,2.0,88.0,3
248,9th Phase JP Nagar,1780.0,3.0,88.0,3
249,9th Phase JP Nagar,1300.0,2.0,58.0,3
250,9th Phase JP Nagar,1571.0,3.0,65.0,3
251,9th Phase JP Nagar,1900.0,4.0,80.0,4
252,9th Phase JP Nagar,890.0,2.0,45.0,2
253,9th Phase JP Nagar,1331.95,2.0,69.0,2
254,AECS Layout,1100.0,2.0,45.0,2
255,AECS Layout,1028.0,2.0,42.0,2
256,AECS Layout,1199.0,2.0,65.0,2
257,AECS Layout,1080.0,2.0,55.0,2
258,AECS Layout,1123.0,2.0,64.0,2
259,AECS Layout,1308.0,2.0,60.0,2
260,AECS Layout,1005.0,2.0,55.0,2
261,AECS Layout,2000.0,3.0,90.0,3
262,Abbigere,985.0,2.0,40.39,2
263,Abbigere,765.0,2.0,30.0,1
264,Abbigere,880.0,2.0,35.0,2
265,Abbigere,795.0,2.0,32.54,2
266,Abbigere,1005.0,2.0,39.59,2
267,Abbigere,1260.0,2.0,45.0,3
268,Abbigere,1020.0,2.0,41.82,2
269,Abbigere,985.0,2.0,40.39,2
270,Abbigere,2500.0,6.0,81.0,6
271,Abbigere,795.0,2.0,32.54,2
272,Abbigere,1130.0,2.0,46.33,2
273,Abbigere,795.0,1.0,32.6,2
274,Abbigere,985.0,2.0,38.92,2
275,Abbigere,1000.0,2.0,41.0,2
276,Abbigere,995.0,2.0,40.8,2
277,Abbigere,1020.0,2.0,40.8,2
278,Akshaya Nagar,1388.0,2.0,57.0,2
279,Akshaya Nagar,1070.0,2.0,54.0,2
280,Akshaya Nagar,1280.0,2.0,58.0,2
281,Akshaya Nagar,1662.0,3.0,85.1,3
282,Akshaya Nagar,1897.0,3.0,120.0,3
283,Akshaya Nagar,1410.0,2.0,75.0,3
284,Akshaya Nagar,1360.0,2.0,85.0,3
285,Akshaya Nagar,1600.0,2.0,65.0,3
286,Akshaya Nagar,1410.0,2.0,80.0,3
287,Akshaya Nagar,1662.0,3.0,85.0,3
288,Akshaya Nagar,1662.0,3.0,85.5,3
289,Akshaya Nagar,1280.0,2.0,60.0,2
290,Akshaya Nagar,1666.0,3.0,95.0,3
291,Akshaya Nagar,1575.0,3.0,90.0,3
292,Akshaya Nagar,1430.0,2.0,75.0,3
293,Akshaya Nagar,1419.0,2.0,73.0,3
294,Akshaya Nagar,1280.0,2.0,60.0,2
295,Akshaya Nagar,1200.0,2.0,50.0,2
296,Akshaya Nagar,1092.0,2.0,60.0,2
297,Akshaya Nagar,1690.0,3.0,85.0,3
298,Akshaya Nagar,1700.0,3.0,80.0,3
299,Akshaya Nagar,1897.0,4.0,93.0,3
300,Akshaya Nagar,1884.0,3.0,98.0,3
301,Akshaya Nagar,1314.0,2.0,68.8,2
302,Akshaya Nagar,1690.0,3.0,85.0,3
303,Akshaya Nagar,1265.0,2.0,67.0,2
304,Akshaya Nagar,1126.0,2.0,55.0,2
305,Akshaya Nagar,2300.0,4.0,102.0,3
306,Akshaya Nagar,1662.0,3.0,90.0,3
307,Akshaya Nagar,1420.0,2.0,75.0,3
308,Akshaya Nagar,1412.0,2.0,88.0,3
309,Akshaya Nagar,1434.0,3.0,84.0,3
310,Akshaya Nagar,1890.0,4.0,100.0,3
311,Akshaya Nagar,2650.0,3.0,125.0,3
312,Akshaya Nagar,1419.0,2.0,87.0,3
313,Akshaya Nagar,1300.0,2.0,54.0,2
314,Akshaya Nagar,1690.0,3.0,85.0,3
315,Akshaya Nagar,1113.0,2.0,52.0,2
316,Akshaya Nagar,1820.0,4.0,95.0,3
317,Akshaya Nagar,1100.0,2.0,48.0,2
318,Akshaya Nagar,1896.0,3.0,102.0,3
319,Akshaya Nagar,1300.0,2.0,66.0,2
320,Akshaya Nagar,1225.0,2.0,68.0,2
321,Akshaya Nagar,1179.0,2.0,51.0,2
322,Akshaya Nagar,1421.0,2.0,73.0,3
323,Akshaya Nagar,1893.0,4.0,95.0,3
324,Akshaya Nagar,900.0,2.0,45.0,2
325,Ambalipura,1105.0,2.0,75.0,2
326,Ambalipura,1800.0,3.0,110.0,3
327,Ambalipura,1150.0,2.0,80.0,2
328,Ambalipura,1250.0,2.0,66.25,2
329,Ambalipura,1332.0,2.0,79.0,2
330,Ambalipura,1730.0,3.0,120.0,3
331,Ambalipura,3500.0,3.0,198.0,3
332,Ambalipura,1230.0,2.0,66.25,2
333,Ambalipura,1351.0,2.0,77.0,2
334,Ambalipura,2550.0,4.0,149.0,4
335,Ambalipura,1817.0,3.0,102.0,3
336,Ambalipura,2750.0,4.0,142.0,4
337,Ambalipura,1303.0,2.0,80.0,2
338,Ambalipura,1607.0,2.0,112.0,3
339,Ambalipura,770.0,1.0,43.82,1
340,Ambalipura,1700.0,2.0,76.0,2
341,Ambalipura,1060.0,2.0,58.5,2
342,Ambalipura,1650.0,3.0,100.0,3
343,Ambalipura,1607.0,2.0,112.0,3
344,Ambalipura,1198.0,2.0,80.0,2
345,Ambedkar Nagar,1935.0,4.0,130.0,3
346,Ambedkar Nagar,1424.0,2.0,90.0,2
347,Ambedkar Nagar,2225.0,4.0,169.0,3
348,Ambedkar Nagar,1862.0,3.0,120.0,3
349,Ambedkar Nagar,1850.0,4.0,139.0,3
350,Ambedkar Nagar,1936.0,4.0,126.0,3
351,Ambedkar Nagar,1862.0,3.0,119.0,3
352,Ambedkar Nagar,1424.0,2.0,90.0,2
353,Ambedkar Nagar,2150.0,4.0,125.0,3
354,Ambedkar Nagar,3530.0,4.0,290.0,4
355,Ambedkar Nagar,1856.0,3.0,120.0,3
356,Ambedkar Nagar,1852.0,3.0,130.0,3
357,Ambedkar Nagar,1850.0,4.0,120.0,3
358,Ambedkar Nagar,1367.0,2.0,86.0,2
359,Ambedkar Nagar,3565.0,4.0,255.0,4
360,Ambedkar Nagar,1409.0,2.0,95.0,2
361,Ambedkar Nagar,1950.0,4.0,120.0,3
362,Ambedkar Nagar,1921.0,4.0,129.0,3
363,Ambedkar Nagar,1920.0,4.0,121.0,3
364,Ambedkar Nagar,1935.0,4.0,125.0,3
365,Ambedkar Nagar,1852.0,4.0,122.0,3
366,Ambedkar Nagar,1950.0,4.0,120.0,3
367,Ambedkar Nagar,1852.0,3.0,125.0,3
368,Ambedkar Nagar,1850.0,4.0,121.0,3
369,Ambedkar Nagar,1425.0,2.0,94.0,2
370,Ambedkar Nagar,2395.0,4.0,150.0,3
371,Amruthahalli,900.0,2.0,40.0,2
372,Amruthahalli,1200.0,2.0,55.0,2
373,Amruthahalli,1900.0,3.0,135.0,3
374,Amruthahalli,924.0,2.0,45.0,2
375,Amruthahalli,900.0,2.0,60.0,2
376,Amruthahalli,1100.0,2.0,45.0,2
377,Amruthahalli,1200.0,2.0,55.0,2
378,Amruthahalli,1350.0,2.0,63.0,3
379,Amruthahalli,1605.0,3.0,65.0,3
380,Amruthahalli,1700.0,3.0,77.0,3
381,Amruthahalli,1450.0,2.0,85.0,3
382,Amruthahalli,1200.0,2.0,55.0,2
383,Amruthahalli,1250.0,2.0,79.0,2
384,Amruthahalli,1190.0,2.0,50.0,2
385,Amruthahalli,1202.0,2.0,65.0,2
386,Amruthahalli,1340.0,2.0,75.0,2
387,Amruthahalli,2650.0,4.0,175.0,3
388,Amruthahalli,1450.0,2.0,90.0,3
389,Amruthahalli,1025.0,2.0,42.0,2
390,Amruthahalli,485.0,1.0,19.5,1
391,Anandapura,1167.0,2.0,43.76,2
392,Anandapura,1000.0,2.0,55.0,2
393,Anandapura,1141.0,2.0,42.79,2
394,Anandapura,1576.0,3.0,59.1,3
395,Anandapura,1200.0,2.0,67.0,2
396,Anandapura,1200.0,2.0,58.0,2
397,Anandapura,1151.0,2.0,43.1,2
398,Anandapura,1141.0,2.0,42.75,2
399,Anandapura,900.0,2.0,48.0,2
400,Anandapura,1749.0,4.0,90.0,4
401,Anandapura,1151.0,2.0,42.9,2
402,Anandapura,1576.0,3.0,58.0,3
403,Anandapura,1250.0,2.0,45.0,2
404,Anandapura,1151.0,2.0,43.16,2
405,Anandapura,1200.0,2.0,58.0,2
406,Anandapura,1200.0,2.0,66.0,3
407,Anandapura,1415.0,2.0,74.0,3
408,Anandapura,1200.0,2.0,50.0,2
409,Anandapura,1141.0,2.0,50.0,2
410,Anandapura,1576.0,3.0,58.7,3
411,Ananth Nagar,500.0,1.0,14.0,1
412,Ananth Nagar,1100.0,2.0,31.5,2
413,Ananth Nagar,982.0,2.0,24.55,2
414,Ananth Nagar,500.0,2.0,14.0,1
415,Ananth Nagar,900.0,2.0,22.5,2
416,Ananth Nagar,908.0,2.0,26.0,2
417,Ananth Nagar,937.0,2.0,35.0,2
418,Ananth Nagar,960.0,2.0,37.0,2
419,Ananth Nagar,500.0,1.0,14.0,1
420,Ananth Nagar,1000.0,2.0,29.7,2
421,Ananth Nagar,850.0,2.0,25.99,2
422,Ananth Nagar,902.0,2.0,25.26,2
423,Ananth Nagar,1470.0,3.0,54.0,3
424,Ananth Nagar,810.0,2.0,25.5,2
425,Ananth Nagar,890.0,2.0,27.0,2
426,Ananth Nagar,1200.0,2.0,36.0,2
427,Ananth Nagar,1319.0,3.0,37.75,3
428,Ananth Nagar,1319.0,3.0,42.0,3
429,Ananth Nagar,1000.0,2.0,25.0,2
430,Ananth Nagar,902.0,2.0,25.0,2
431,Ananth Nagar,930.0,2.0,25.99,2
432,Ananth Nagar,1074.0,2.0,26.85,2
433,Ananth Nagar,500.0,1.0,14.0,1
434,Ananth Nagar,1010.0,2.0,38.0,2
435,Ananth Nagar,992.0,2.0,24.8,2
436,Anekal,1200.0,1.0,36.0,2
437,Anekal,656.0,2.0,22.0,2
438,Anekal,620.0,2.0,22.0,2
439,Anekal,600.0,1.0,16.5,1
440,Anekal,925.0,2.0,40.0,2
441,Anekal,530.0,1.0,18.0,1
442,Anekal,1800.0,3.0,68.0,3
443,Anekal,1200.0,1.0,36.0,2
444,Anekal,351.0,1.0,16.0,1
445,Anekal,1035.0,2.0,38.3,2
446,Anekal,888.0,2.0,34.0,2
447,Anekal,1200.0,2.0,36.1,2
448,Anekal,700.0,1.0,19.4,2
449,Anekal,1200.0,1.0,36.0,2
450,Anekal,766.0,2.0,28.0,2
451,Anekal,967.0,2.0,45.0,3
452,Anekal,620.0,1.0,23.5,2
453,Anekal,1150.0,3.0,45.0,3
454,Anekal,1200.0,1.0,36.0,2
455,Anekal,1200.0,1.0,36.0,2
456,Anekal,400.0,1.0,11.5,1
457,Anekal,456.0,1.0,15.0,1
458,Anekal,1200.0,1.0,36.0,2
459,Anekal,1200.0,1.0,36.0,2
460,Anekal,2400.0,4.0,95.0,3
461,Anekal,1200.0,2.0,36.1,2
462,Anekal,1200.0,2.0,36.1,2
463,Anekal,680.0,1.0,21.0,2
464,Anekal,420.0,1.0,12.5,1
465,Anekal,614.0,1.0,28.0,2
466,Anekal,1140.0,2.0,52.0,2
467,Anekal,625.0,1.0,25.0,2
468,Anjanapura,1850.0,4.0,86.0,4
469,Anjanapura,1070.0,2.0,39.0,2
470,Anjanapura,1500.0,3.0,121.0,3
471,Anjanapura,1070.0,2.0,37.0,2
472,Anjanapura,950.0,2.0,40.0,2
473,Anjanapura,1280.0,2.0,45.0,3
474,Anjanapura,710.0,2.0,25.0,2
475,Anjanapura,1347.0,2.0,37.72,3
476,Anjanapura,950.0,2.0,32.0,2
477,Anjanapura,1800.0,4.0,55.0,4
478,Anjanapura,1843.0,3.0,87.54,3
479,Anjanapura,1076.0,2.0,30.13,2
480,Anjanapura,950.0,2.0,30.0,2
481,Ardendale,1750.0,3.0,100.0,3
482,Ardendale,3198.0,4.0,200.0,4
483,Ardendale,2422.0,4.0,160.0,4
484,Ardendale,1750.0,3.0,100.0,3
485,Ardendale,3200.0,4.0,205.0,4
486,Ardendale,1728.0,3.0,95.0,3
487,Ardendale,2062.0,3.0,140.0,4
488,Ardendale,1732.46,3.0,92.0,3
489,Ardendale,2062.0,3.0,150.0,4
490,Ardendale,2800.0,4.0,140.0,4
491,Ardendale,1224.0,2.0,70.0,2
492,Ardendale,1777.26,3.0,105.0,3
493,Ardendale,1650.0,3.0,82.0,3
494,Ardendale,2062.0,3.0,140.0,4
495,Ardendale,1650.0,3.0,82.0,3
496,Ardendale,1224.0,2.0,67.0,2
497,Ardendale,1723.0,3.0,95.0,3
498,Ardendale,1777.26,3.0,89.0,3
499,Ardendale,1777.26,3.0,92.0,3
500,Arekere,2060.0,3.0,140.0,3
501,Arekere,920.0,2.0,40.0,2
502,Arekere,1740.0,2.0,95.0,3
503,Arekere,1190.0,2.0,55.0,2
504,Arekere,600.0,1.0,28.0,1
505,Arekere,2072.0,3.0,108.0,3
506,Arekere,1100.0,2.0,55.0,2
507,Arekere,900.0,2.0,50.0,2
508,Arekere,2710.0,6.0,142.0,4
509,Arekere,1240.0,2.0,60.0,2
510,Arekere,900.0,2.0,44.5,2
511,Attibele,450.0,1.0,11.0,1
512,Attibele,1600.0,4.0,52.8,4
513,Attibele,656.0,2.0,25.0,2
514,Attibele,400.0,1.0,11.0,1
515,Attibele,400.0,1.0,12.0,1
516,Attibele,400.0,1.0,14.0,1
517,Attibele,500.0,1.0,17.0,1
518,Attibele,2168.0,4.0,95.0,4
519,Attibele,395.0,1.0,10.25,1
520,Attibele,420.0,1.0,17.0,1
521,Attibele,1639.0,2.0,40.98,3
522,Attibele,418.0,1.0,12.0,1
523,Attibele,1200.0,2.0,42.0,2
524,Attibele,400.0,1.0,10.0,1
525,Attibele,695.0,1.0,25.0,2
526,Attibele,850.0,1.0,25.0,2
